case_id,fact_pattern,violence_score,financial_loss_score,victim_vulnerability_score,premeditation_score,public_safety_risk,priors,plea_guilty,mitigating_circumstances,juvenile,court_region,sentence_United States,sentence_United Kingdom,sentence_Canada,sentence_Australia,sentence_Singapore,sentence_India,sentence_Germany,sentence_France,sentence_Italy,sentence_Spain,sentence_Switzerland,sentence_Brazil,sentence_Norway,sentence_Sweden,sentence_Denmark,sentence_Japan,sentence_South Korea,sentence_Saudi Arabia,sentence_Iran,sentence_South Africa
181,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection.,0.088,0.058,0.129,0.727,0.19,2,1,1,0,1,49.2,34.6,21.6,28.6,136.0,36.0,24.1,27.0,17.3,20.9,15.2,25.7,8.5,10.3,10.0,10.6,17.4,75.6,66.4,51.0
182,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years.",1.0,0.709,0.347,0.813,0.92,3,1,0,1,0,204.2,91.8,66.9,81.0,368.4,76.1,74.7,95.5,65.6,62.2,41.5,84.0,24.8,25.8,30.9,34.8,53.4,258.1,344.6,214.7
183,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.584,0.208,0.907,0.849,0.384,1,0,0,0,1,196.8,133.6,116.7,126.9,343.2,132.6,113.1,105.8,94.1,98.7,77.4,131.9,46.8,54.8,52.5,83.9,94.2,208.9,229.0,166.8
184,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The offender chose a victim who was highly intoxicated and unable to stand or speak clearly.",0.65,0.146,0.67,0.219,0.363,1,0,1,0,1,129.8,91.3,69.5,89.5,259.8,87.6,72.0,58.1,64.3,54.5,39.8,81.4,27.3,31.4,31.6,38.7,45.8,169.7,177.8,106.3
185,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The offender stole a bicycle valued at $300 parked outside a supermarket.",0.715,0.035,0.113,0.223,0.426,0,0,0,0,0,142.6,107.7,63.1,68.3,173.8,88.8,59.5,62.8,61.0,57.4,40.6,55.1,34.7,31.4,39.4,49.6,70.8,199.0,124.1,97.9
186,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection.,0.051,0.12,0.132,0.749,0.192,0,0,0,0,0,66.0,51.5,28.1,28.8,75.6,47.0,34.0,30.4,26.4,24.1,21.9,26.4,11.7,13.3,13.7,26.3,28.0,60.7,51.4,40.6
187,"The suspect pointed a loaded handgun at the store clerk, demanding money and threatening to pull the trigger. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The crime targeted a 7-year-old child who was walking home alone from school.",0.864,0.218,0.907,0.856,0.711,0,1,0,0,1,114.3,104.7,90.0,91.2,239.3,139.4,73.4,86.3,76.6,66.4,60.2,105.3,51.6,48.4,49.2,38.6,69.1,266.8,185.7,133.8
188,The suspect sold fake pharmaceutical pills containing toxic contaminants to local drug users.,0.259,0.36,0.725,0.709,0.888,4,1,0,0,0,324.4,159.5,114.0,151.3,480.0,169.6,118.2,150.7,98.0,101.3,82.1,110.0,48.7,53.7,48.0,61.5,82.0,277.4,216.5,223.1
189,"The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.628,0.109,0.235,0.866,0.38,1,1,1,0,0,131.7,71.1,52.4,55.8,232.3,66.3,54.9,48.8,44.3,51.8,34.0,52.4,22.4,25.2,25.8,21.8,37.0,175.2,139.7,87.2
190,"The suspect planned the heist for over six months, purchasing specialized tools, drawing maps, and tracking guards. The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.1,0.309,0.103,0.998,0.799,4,0,1,0,1,211.5,110.3,78.0,106.3,414.8,162.9,82.0,68.2,78.5,78.7,41.9,92.9,23.4,29.2,25.5,44.8,61.4,226.8,203.8,143.9
191,"The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution.",0.145,0.227,0.052,0.457,0.726,0,0,1,0,1,62.8,48.1,32.9,38.3,130.7,71.2,27.5,28.6,32.7,29.1,18.4,33.9,12.9,12.5,12.9,20.3,27.5,87.3,67.4,54.0
192,"The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million. The suspect planned the heist for over six months, purchasing specialized tools, drawing maps, and tracking guards. The crime targeted a 7-year-old child who was walking home alone from school.",0.078,0.931,0.951,0.92,0.431,1,1,1,0,0,131.1,70.5,66.5,58.4,249.5,98.9,64.9,55.4,46.8,45.0,34.3,62.7,22.5,23.2,22.8,25.0,37.8,203.2,153.5,102.7
193,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The suspect broke into a commercial warehouse and stole electronics worth approximately $5,000. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.342,0.312,0.911,0.456,0.217,1,0,0,0,0,162.8,102.4,85.1,92.6,206.8,89.3,83.0,86.8,73.9,78.5,50.1,79.7,34.2,35.3,36.4,70.1,77.2,177.2,121.6,122.3
194,"The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million.",0.002,0.978,0.822,0.867,0.363,2,1,1,0,0,179.8,85.9,53.5,67.0,244.4,99.8,53.8,62.1,50.8,57.7,38.3,66.7,20.0,22.3,22.3,28.4,49.8,230.2,200.1,122.9
195,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The offender stole a bicycle valued at $300 parked outside a supermarket.",0.276,0.128,0.013,0.1,0.101,0,1,0,0,0,32.4,24.3,25.1,20.0,63.3,25.4,22.8,17.2,17.1,16.6,13.4,21.7,12.2,11.7,11.4,10.2,15.5,58.0,55.2,32.0
196,"The suspect set fire to a trash can near an apartment building, causing a blaze that threatened multiple families. The suspect planned the heist for over six months, purchasing specialized tools, drawing maps, and tracking guards.",0.354,0.336,0.474,0.947,0.838,0,1,1,0,1,110.8,58.4,45.0,41.9,187.2,74.5,48.6,44.9,33.0,39.7,29.7,64.7,20.5,22.7,22.0,20.1,36.1,106.7,117.2,72.3
197,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.577,0.038,0.187,0.85,0.44,0,1,1,1,0,44.4,24.7,16.3,14.2,89.6,27.4,16.7,19.5,14.6,13.3,9.2,17.1,6.0,6.2,7.0,6.6,11.4,82.0,100.5,36.3
198,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.559,0.196,0.887,0.829,0.428,2,0,0,1,0,143.4,96.1,56.5,68.6,228.3,74.5,54.2,54.7,63.3,55.2,29.3,49.3,17.1,18.3,21.4,41.2,47.6,249.6,206.6,94.7
199,The offender stole a bicycle valued at $300 parked outside a supermarket.,0.0,0.123,0.0,0.104,0.064,1,0,0,0,1,23.1,15.1,12.6,9.1,27.2,9.8,9.7,7.8,9.7,7.6,5.2,9.3,3.1,4.0,3.1,7.1,6.6,19.9,23.3,15.8
200,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million. The offender chose a victim who was highly intoxicated and unable to stand or speak clearly.",0.846,0.997,0.764,0.878,0.454,0,1,0,0,1,126.5,108.7,96.9,105.7,232.9,184.7,78.8,87.9,72.4,87.2,69.5,95.6,49.6,55.3,54.6,47.4,72.6,254.9,194.3,146.9
201,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.301,0.014,0.0,0.009,0.056,1,0,0,0,1,70.8,30.2,22.5,32.3,70.3,37.6,22.4,22.1,25.5,23.4,18.1,24.4,12.5,11.9,14.0,19.4,21.1,53.2,51.5,36.8
202,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.0,0.067,0.0,0.17,0.078,1,0,0,0,1,19.4,13.9,8.1,10.8,32.0,14.4,10.2,10.8,8.3,8.8,5.6,10.0,3.6,3.7,3.3,7.5,9.3,21.1,19.9,15.2
203,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult.",0.996,0.035,0.159,0.531,0.88,2,1,0,0,0,300.2,157.9,110.8,136.5,409.4,137.6,119.9,124.7,80.3,109.4,80.1,106.6,53.9,62.7,61.9,56.3,85.1,235.5,270.7,199.7
204,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.818,0.0,0.949,0.253,0.49,1,1,0,0,0,186.2,97.4,104.6,76.4,306.8,108.4,92.3,88.9,73.2,71.4,55.9,103.0,45.5,49.3,53.2,39.7,69.7,195.5,187.7,141.1
205,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The offender chose a victim who was highly intoxicated and unable to stand or speak clearly.",0.687,0.113,0.714,0.208,0.376,2,0,0,0,1,187.0,138.4,129.1,139.0,345.3,183.7,101.8,115.2,91.3,96.1,76.6,109.0,54.3,49.3,60.1,77.2,88.1,170.8,195.0,153.0
206,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.744,0.0,0.942,0.193,0.422,1,1,0,0,0,140.3,94.7,88.6,87.8,255.6,81.4,73.1,93.2,56.3,76.6,53.8,79.3,44.1,48.0,44.8,37.9,60.4,203.7,196.3,126.8
207,"The suspect pointed a loaded handgun at the store clerk, demanding money and threatening to pull the trigger. The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million.",0.803,0.962,0.775,0.88,0.691,1,0,0,0,0,360.0,240.0,180.7,201.7,404.8,121.0,169.1,149.8,142.1,149.8,108.3,182.6,73.4,75.7,82.2,126.5,147.4,350.1,304.4,268.0
208,The offender stole a bicycle valued at $300 parked outside a supermarket.,0.013,0.11,0.029,0.149,0.078,0,1,0,0,1,11.3,8.8,7.1,6.2,20.9,15.3,7.6,7.0,6.4,6.1,4.7,8.3,3.4,3.5,3.5,4.1,6.0,18.8,20.5,11.4
209,"The offender stole a bicycle valued at $300 parked outside a supermarket. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.382,0.052,0.94,0.228,0.056,5,1,1,1,0,102.4,34.2,25.2,29.5,161.7,38.0,30.6,32.7,21.4,22.8,13.6,29.9,7.5,7.4,8.4,9.8,19.3,110.2,92.2,65.1
210,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.826,0.045,0.908,0.348,0.489,4,1,0,0,1,310.0,149.9,124.9,135.1,480.0,197.6,141.5,117.9,92.0,104.9,88.4,142.5,66.6,63.1,70.3,64.9,117.0,314.5,323.8,188.3
211,"The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic. The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The crime targeted a 7-year-old child who was walking home alone from school.",1.0,0.0,0.999,0.538,0.949,0,1,0,0,0,107.1,121.8,94.6,112.3,251.9,138.4,108.0,94.5,74.7,80.1,59.9,111.6,50.9,55.8,50.8,44.1,82.2,212.2,244.1,143.7
212,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.97,0.0,0.222,0.892,0.934,0,0,0,0,0,155.8,170.3,110.4,136.2,311.7,101.6,108.8,115.7,105.0,98.0,79.3,110.5,56.1,53.8,60.2,93.6,88.9,290.0,206.9,152.3
213,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.58,0.0,0.866,0.895,0.429,4,1,0,1,1,158.4,60.4,55.1,53.3,287.5,94.1,52.8,58.8,37.7,48.8,28.6,58.2,15.6,17.1,18.7,23.5,36.5,182.1,202.7,115.7
214,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.0,0.113,0.0,0.168,0.0,2,1,1,0,0,23.3,6.8,7.2,8.0,19.2,9.0,6.1,5.9,5.7,5.6,3.6,5.5,1.7,2.2,2.1,2.3,3.9,20.8,16.4,10.4
215,"The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult.",0.414,0.05,0.0,0.183,0.058,0,1,1,1,1,15.8,7.8,7.0,8.8,35.2,8.6,6.5,8.7,6.4,6.2,4.1,8.1,2.7,3.1,3.6,3.1,4.4,44.0,40.2,14.7
216,"The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The crime targeted a 7-year-old child who was walking home alone from school.",0.575,0.707,0.926,0.811,0.35,0,1,1,0,1,101.0,67.8,64.9,54.9,183.2,121.2,52.2,56.0,52.5,46.1,37.5,58.5,25.5,28.0,28.6,22.8,34.7,171.6,113.9,89.7
217,The offender stole a bicycle valued at $300 parked outside a supermarket. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.,0.133,0.129,0.908,0.726,0.173,1,1,0,0,1,91.1,54.9,57.4,55.1,135.3,80.1,49.5,44.0,33.5,39.6,29.4,53.3,22.0,21.0,23.6,26.0,39.7,95.9,97.1,81.5
218,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.705,0.14,0.859,0.709,0.411,1,0,1,0,1,201.5,109.0,89.1,112.2,294.0,212.6,72.7,72.4,68.7,71.9,43.8,86.0,29.6,36.0,38.5,53.2,51.1,269.9,199.3,125.2
219,"The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult.",0.447,0.741,0.305,0.843,0.204,1,1,0,0,1,138.1,89.9,70.6,81.4,207.4,115.8,72.9,66.0,58.5,67.4,53.0,93.8,36.2,37.3,39.6,33.7,53.5,161.3,197.0,138.5
220,"The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection.",0.059,0.782,0.313,0.798,0.16,0,1,1,0,0,70.0,45.0,29.7,36.8,95.6,53.0,31.7,27.7,27.4,29.2,18.7,31.8,11.1,11.7,13.0,14.5,23.2,73.6,86.4,40.2
221,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.259,0.954,0.868,0.939,0.387,0,1,0,0,1,125.1,67.3,77.4,78.9,169.8,91.5,73.7,62.8,55.0,57.7,44.4,61.2,35.1,35.1,34.4,38.2,61.2,155.0,137.7,113.2
222,"The suspect set fire to a trash can near an apartment building, causing a blaze that threatened multiple families. The suspect planned the heist for over six months, purchasing specialized tools, drawing maps, and tracking guards.",0.359,0.284,0.504,0.997,0.859,1,1,1,0,1,103.6,76.8,62.4,69.8,233.5,85.8,53.1,57.5,47.3,55.5,33.6,62.6,24.1,26.4,27.8,24.3,36.9,139.3,129.2,116.4
223,"The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution. The suspect planned the heist for over six months, purchasing specialized tools, drawing maps, and tracking guards.",0.089,0.335,0.053,0.957,0.752,1,1,0,0,1,115.5,78.5,56.9,62.9,193.5,71.5,59.4,56.0,41.2,47.6,35.3,67.7,25.0,25.4,25.2,27.7,40.4,146.6,95.1,106.1
224,"The suspect broke into a commercial warehouse and stole electronics worth approximately $5,000.",0.131,0.313,0.092,0.549,0.194,5,1,1,0,0,127.0,69.3,45.1,60.1,216.7,46.2,48.8,45.5,39.3,39.8,26.3,39.7,14.0,17.4,17.4,20.5,29.4,189.8,110.7,80.9
225,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.602,0.042,0.151,0.87,0.409,2,0,0,0,0,233.0,136.4,99.8,135.7,338.0,153.3,114.1,104.2,102.3,96.6,64.4,115.5,44.9,47.4,49.6,76.4,88.5,255.3,228.3,163.0
226,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries.",1.0,0.038,0.238,0.476,0.915,1,1,0,0,1,161.1,131.7,101.6,128.2,385.8,206.5,84.8,102.8,71.8,77.7,66.0,123.1,52.7,51.4,58.2,43.7,72.9,225.5,209.8,177.9
227,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The crime targeted a 7-year-old child who was walking home alone from school.",0.255,0.0,0.927,0.287,0.284,2,1,1,0,0,90.6,69.4,35.4,44.8,185.3,63.6,39.9,42.5,33.1,34.2,26.9,45.6,16.7,17.5,18.3,16.6,26.8,125.9,102.2,80.3
228,"The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.177,0.942,0.915,0.869,0.371,2,1,1,0,0,170.1,121.2,69.1,88.4,307.0,90.3,79.0,66.2,66.3,62.5,41.5,70.3,26.4,29.4,27.1,29.9,46.7,314.4,203.2,151.1
229,"The offender was found in possession of 200 grams of cocaine, scales, and packaging materials indicating distribution. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection.",0.064,0.235,0.138,0.653,0.719,2,1,0,0,1,108.1,56.0,50.6,59.8,219.7,117.4,58.4,59.3,37.4,41.0,31.7,57.5,22.7,20.6,22.7,25.7,39.5,159.1,122.3,111.3
230,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.332,0.001,0.014,0.0,0.053,0,1,0,0,1,24.8,22.2,20.6,20.7,44.2,26.2,15.9,16.6,13.9,13.3,12.4,16.0,11.4,10.7,11.8,7.9,13.7,26.5,38.2,25.7
231,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The offender stole a bicycle valued at $300 parked outside a supermarket.",0.819,0.059,0.089,0.266,0.507,4,1,1,0,1,210.8,139.4,77.1,104.0,439.6,182.1,72.1,76.9,66.4,68.7,42.2,86.4,32.0,39.8,36.3,23.9,53.3,217.8,192.4,110.1
232,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.336,0.047,0.018,0.0,0.063,0,1,0,0,1,31.5,21.8,18.5,22.6,54.6,43.0,15.9,17.2,12.3,15.2,13.2,23.8,11.4,12.3,13.0,10.3,13.2,38.8,43.3,25.6
233,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.0,0.078,0.0,0.175,0.047,1,1,0,0,1,15.6,7.8,6.5,6.9,23.1,11.6,7.1,7.9,5.0,6.1,4.7,6.2,2.8,2.8,2.9,3.3,5.9,20.0,16.9,12.2
234,"The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic. The suspect planned the heist for over six months, purchasing specialized tools, drawing maps, and tracking guards.",0.498,0.284,0.278,0.933,0.928,1,1,1,0,0,154.1,80.8,77.0,68.4,268.5,103.0,58.8,57.5,44.6,52.3,37.4,65.9,26.3,29.8,28.3,25.9,46.0,247.0,193.0,112.4
235,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",1.0,0.016,0.25,0.826,0.892,0,0,1,0,0,159.8,103.3,94.2,105.3,307.6,104.2,84.2,65.5,82.3,70.9,46.9,87.3,34.3,38.5,39.2,52.2,74.9,253.0,221.7,138.8
236,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.",0.798,0.134,0.086,0.28,0.467,1,1,0,0,1,146.3,89.1,70.5,71.7,236.3,57.4,69.4,66.1,60.3,58.5,44.3,79.4,35.5,40.9,41.5,35.0,48.0,173.8,132.0,126.2
237,The offender stole a bicycle valued at $300 parked outside a supermarket.,0.045,0.12,0.015,0.072,0.022,3,1,1,0,1,24.6,12.1,8.7,10.4,39.6,13.9,8.4,7.5,6.0,7.1,5.2,9.3,2.9,3.5,3.3,3.3,4.9,34.5,24.8,17.7
238,"The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.137,0.758,0.944,0.757,0.239,1,1,0,0,0,115.0,91.2,76.1,80.0,178.9,101.4,67.8,70.8,61.0,65.7,48.5,62.0,32.7,34.3,28.3,39.1,57.0,214.1,133.4,75.4
239,The offender stole a bicycle valued at $300 parked outside a supermarket. The suspect sold fake pharmaceutical pills containing toxic contaminants to local drug users.,0.349,0.439,0.749,0.664,0.936,0,0,0,1,1,72.7,45.9,29.1,33.7,186.8,52.5,35.5,36.5,28.5,31.3,20.0,40.8,12.2,12.8,14.7,25.0,31.3,89.0,85.4,71.6
240,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises.",0.277,0.026,0.0,0.026,0.099,2,0,1,0,1,67.3,35.5,21.3,26.3,93.8,26.1,19.2,20.9,22.6,18.5,13.7,20.5,9.2,10.0,11.0,12.7,17.6,54.4,66.7,39.5
241,"The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.054,0.92,0.887,0.851,0.382,2,0,1,0,0,248.6,128.0,82.3,106.6,302.8,121.2,83.5,82.3,84.5,68.6,50.5,70.3,26.7,32.3,25.6,55.2,63.7,211.7,261.7,139.4
242,"The offender stole a bicycle valued at $300 parked outside a supermarket. The suspect planned the heist for over six months, purchasing specialized tools, drawing maps, and tracking guards.",0.0,0.309,0.067,0.982,0.38,0,1,0,0,0,48.9,38.6,35.6,33.7,105.3,51.1,29.8,30.6,25.4,30.6,18.9,42.8,14.7,14.9,15.3,21.1,29.3,92.2,70.3,52.7
243,"A verbal confrontation escalated, leading to the offender shoving the victim to the ground, causing minor bruises. The offender stole a bicycle valued at $300 parked outside a supermarket.",0.266,0.121,0.031,0.052,0.072,5,0,0,0,0,149.2,76.2,54.4,58.3,174.2,48.1,53.1,51.5,47.0,45.0,40.2,60.1,20.7,25.8,23.7,34.9,38.1,144.7,111.9,107.8
244,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The defendant ran a sophisticated Ponzi scheme, defrauding elderly investors of over $2.5 million.",0.676,0.953,0.755,0.949,0.416,1,0,1,0,1,292.6,181.1,100.9,133.1,387.0,156.2,92.2,102.8,96.1,94.8,58.5,101.4,36.7,43.7,40.6,65.1,68.5,228.3,283.9,193.1
245,"The perpetrator shot the victim in the chest at close range following a dispute, causing fatal injuries. The offender acted in a sudden fit of rage, with no planning whatsoever, responding to an insult. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.98,0.016,0.916,0.477,0.911,0,1,0,0,0,139.1,93.6,82.0,91.0,284.3,145.4,85.6,79.9,71.6,71.8,61.2,106.8,52.6,52.7,49.9,46.5,76.4,203.9,232.3,165.1
246,"The offender physically assaulted the victim by punching and kicking them multiple times, causing severe facial fractures. The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The crime targeted a 7-year-old child who was walking home alone from school.",0.728,0.783,0.997,0.786,0.391,0,1,1,0,1,147.9,81.0,69.2,82.1,229.7,97.9,59.6,60.1,45.4,53.2,43.7,58.8,30.5,34.2,31.3,27.9,44.6,218.6,199.9,88.4
247,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years. The victim was an 82-year-old grandmother who lived alone and suffered from mild dementia.",0.841,0.784,0.917,0.765,0.459,1,1,0,0,0,262.6,143.2,123.7,121.4,404.2,201.9,115.4,108.1,90.1,106.8,83.4,139.3,61.5,67.8,64.2,54.5,91.3,360.0,275.1,209.2
248,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim. The offender chose a victim who was highly intoxicated and unable to stand or speak clearly.",0.555,0.131,0.737,0.885,0.386,1,1,0,0,0,151.4,87.2,82.3,90.9,237.0,102.7,77.3,90.4,61.4,79.1,60.7,79.0,37.8,37.2,38.7,37.3,71.4,201.0,185.4,99.2
249,"The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.839,0.246,0.877,0.623,0.487,0,0,0,0,1,135.7,145.9,107.3,109.8,275.0,231.5,95.7,89.7,91.6,107.7,62.0,123.7,51.4,55.1,52.9,78.8,92.3,312.4,200.2,133.1
250,The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe.,0.015,0.12,0.0,0.22,0.006,4,0,0,0,1,43.3,24.9,16.2,20.9,55.1,23.2,21.0,18.1,15.2,16.4,12.4,20.6,6.0,6.7,6.3,13.3,13.2,56.1,38.0,33.7
251,"The suspect stole a wallet containing credit cards and $150 cash from an unattended purse in a cafe. The defendant purchased a carving knife and gloves the morning of the crime, explicitly intending to confront the victim.",0.611,0.126,0.238,0.873,0.439,1,1,1,0,0,135.7,68.7,57.7,54.0,276.4,58.0,50.0,51.4,49.6,47.4,30.9,64.9,23.2,26.7,27.2,26.8,45.3,155.8,204.7,106.5
252,"The suspect pointed a loaded handgun at the store clerk, demanding money and threatening to pull the trigger. The employee embezzled $150,000 from the company accounts by forging signatures on corporate checks over two years.",0.868,0.777,0.308,0.807,0.748,1,1,0,0,0,259.9,119.2,118.3,118.1,396.0,200.8,101.4,116.7,101.1,99.5,82.8,122.1,58.7,61.6,57.3,53.8,94.8,316.9,276.1,186.9
253,"The suspect broke into a commercial warehouse and stole electronics worth approximately $5,000. The perpetrator wore a ski mask and dark clothing to conceal their identity and avoid CCTV detection. The defendant took advantage of their role as a live-in nurse to abuse and steal from a bedridden patient.",0.216,0.364,0.865,0.733,0.239,1,0,1,0,1,126.0,92.6,57.4,58.5,212.5,90.1,54.4,57.7,51.2,50.8,31.4,61.4,20.6,20.8,22.7,36.9,44.6,158.7,134.3,115.4
254,"The offender stole a bicycle valued at $300 parked outside a supermarket. The defendant attacked the victim with a metal pipe during an argument, resulting in a deep head wound. The defendant discharged an assault rifle into the air in a crowded public square, causing mass panic.",0.847,0.035,0.272,0.414,0.94,0,1,1,0,1,80.9,65.4,52.6,49.9,238.1,145.6,47.9,49.3,40.4,40.2,28.6,56.0,22.5,29.7,27.8,20.2,37.2,124.8,127.8,89.3
